cardname,cardq,cardid,cardrarity,cardcondition,card_edition,cardset,cardcode
Kiseitai,3,4266839,Common,M,1st Edition,Pharaoh's Servant,PSV-046
Flame Champion,3,42599677,Common,M,1st Edition,Pharaoh's Servant,PSV-041
Skull Mariner,2,5265750,Common,M,1st Edition,Pharaoh's Servant,PSV-092
World Suppression,2,12253117,Common,M,1st Edition,Pharaoh's Servant,PSV-020
Dimensionhole,1,22959079,Rare,M,1st Edition,Pharaoh's Servant,PSV-EN069
Thousand-Eyes Idol,5,27125110,Common,M,1st Edition,Pharaoh's Servant,PSV-083
Bite Shoes,3,50122883,Common,M,1st Edition,Pharaoh's Servant,PSV-EN080
Armored Glass,3,36868108,Common,M,1st Edition,Pharaoh's Servant,PSV-019
Bubonic Vermin,2,6104968,Common,M,1st Edition,Pharaoh's Servant,PSV-057
Monster Recovery,1,93108433,Rare,M,1st Edition,Pharaoh's Servant,PSV-066
Parasite Paracide,1,27911549,Super Rare,M,1st Edition,Pharaoh's Servant,PSV-003
Island Turtle,3,4042268,Common,M,1st Edition,Pharaoh's Servant,PSV-095
Shadow of Eyes,2,58621589,Common,M,1st Edition,Pharaoh's Servant,PSV-075
Darkfire Soldier #1,4,5388481,Common,M,1st Edition,Pharaoh's Servant,PSV-043
Rain of Mercy,1,66719324,Common,M,1st Edition,Pharaoh's Servant,PSV-EN065
Insect Barrier,2,23615409,Common,M,1st Edition,Pharaoh's Servant,PSV-EN102
Mystic Probe,4,49251811,Common,M,1st Edition,Pharaoh's Servant,PSV-021
Insect Imitation,1,96965364,Common,M,1st Edition,Pharaoh's Servant,PSV-068
Sky Scout,4,30532390,Common,M,1st Edition,Pharaoh's Servant,PSV-EN049
The Regulation of Tribe,2,296499,Common,M,1st Edition,Pharaoh's Servant,PSV-EN027
Light of Intervention,2,62867251,Common,M,1st Edition,Pharaoh's Servant,PSV-EN031
Type Zero Magic Crusher,4,21237481,Common,M,1st Edition,Pharaoh's Servant,PSV-EN074
Michizure,2,37580756,Rare,M,1st Edition,Pharaoh's Servant,PSV-051
Deepsea Warrior,4,24128274,Common,M,1st Edition,Pharaoh's Servant,PSV-EN079
Solemn Wishes,1,35346968,Common,M,1st Edition,Pharaoh's Servant,PSV-EN055
Cold Wave,5,60682203,Common,M,1st Edition,Pharaoh's Servant,PSV-EN062
Bombardment Beetle,3,57409948,Common,M,1st Edition,Pharaoh's Servant,PSV-087
Twin-Headed Fire Dragon,5,78984772,Common,M,1st Edition,Pharaoh's Servant,PSV-042
Drill Bug,2,88733579,Common,M,1st Edition,Pharaoh's Servant,PSV-EN078
Vampire Baby,2,56387350,Rare,M,1st Edition,Pharaoh's Servant,PSV-090
Dark Bat,2,67049542,Common,M,1st Edition,Pharaoh's Servant,PSV-058
Sword Hunter,3,51345461,Common,M,1st Edition,Pharaoh's Servant,PSV-EN077
Hayabusa Knight,3,21015833,Rare,M,1st Edition,Pharaoh's Servant,PSV-086
Call of the Haunted,1,97077563,Ultra Rare,M,1st Edition,Pharaoh's Servant,PSV-012
Steel Ogre Grotto #2,1,90908427,Common,M,1st Edition,Pharaoh's Servant,PSV-001
Dokuroyaiba,3,30325729,Common,M,1st Edition,Pharaoh's Servant,PSV-EN099
Metal Detector,1,75646520,Common,M,1st Edition,Pharaoh's Servant,PSV-022
Wingweaver,3,31447217,Common,M,1st Edition,Pharaoh's Servant,PSV-096
Three-Headed Geedo,2,78423643,Common,M,1st Edition,Pharaoh's Servant,PSV-EN002
Thousand-Eyes Restrict,1,63519819,Ultra Rare,M,1st Edition,Pharaoh's Servant,PSV-084
7 Completed,1,86198326,Common,M,1st Edition,Pharaoh's Servant,PSV-004
Numinous Healer,2,2130625,Common,M,1st Edition,Pharaoh's Servant,PSV-023
Jinzo,1,77585513,Secret Rare,M,1st Edition,Pharaoh's Servant,PSV-EN000
Inspection,3,16227556,Common,M,1st Edition,Pharaoh's Servant,PSV-EN038
Forced Requisition,3,74923978,Rare,M,1st Edition,Pharaoh's Servant,PSV-025
Limiter Removal,2,23171610,Super Rare,M,1st Edition,Pharaoh's Servant,PSV-064
Driving Snow,1,473469,Common,M,1st Edition,Pharaoh's Servant,PSV-018
Nobleman of Extermination,1,17449108,Rare,M,1st Edition,Pharaoh's Servant,PSV-035
Flying Kamakiri #2,1,3134241,Common,M,1st Edition,Pharaoh's Servant,PSV-048
Ground Collapse,3,90502999,Common,M,1st Edition,Pharaoh's Servant,PSV-EN070
Skull Invitation,1,98139712,Rare,M,1st Edition,Pharaoh's Servant,PSV-EN056
Dust Tornado,1,60082869,Super Rare,M,1st Edition,Pharaoh's Servant,PSV-EN011
The Shallow Grave,1,43434803,Rare,M,1st Edition,Pharaoh's Servant,PSV-036
Invitation to a Dark Sleep,2,52675689,Common,M,1st Edition,Pharaoh's Servant,PSV-082
Shift,1,59560625,Rare,M,1st Edition,Pharaoh's Servant,PSV-EN067
United We Stand,1,56747793,Ultra Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN049
Pot of Greed,1,55144522,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN119
Axe of Despair,1,40619825,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN002
Mystical Space Typhoon,1,5318639,Ultra Rare,M,1st Edition,Spell Ruler,SRL-EN047
Monster Egg,2,36121917,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN017
Reaper of the Cards,1,33066139,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN071
Yami,2,59197169,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-051
Flame Manipulator,2,34460851,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN016
Petit Dragon,2,75356564,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN024
Armed Ninja,1,9076207,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-106
Trap Hole,1,4206964,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-058
Firegrass,1,53293545,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN018
Mammoth Graveyard,2,40374923,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN009
Electro-Whip,2,37820550,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN093
Hane-Hane,1,7089711,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-110
Hinotama,1,46130346,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN056
Skull Red Bird,1,10202894,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN105
Celtic Guardian,1,91152256,Super Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-007
Witty Phantom,1,36304921,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN072
Armaill,1,53153481,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-079
Hard Armor,1,20060230,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-074
Hitotsu-Me Giant,1,76184692,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN002
Forest,1,87430998,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN046
Succubus Knight,1,55291359,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-117
Hinotama Soul,1,96851799,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-026
Dark Energy,1,4614116,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN088
Sogen,1,86318356,Common,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN049
Gravedigger Ghoul,1,82542267,Rare,M,1st Edition,Legend of Blue Eyes White Dragon,LOB-EN065
Swordsman of Landstar,4,3573512,Common,M,1st Edition,Labyrinth of Nightmare,LON-002
The Rock Spirit,5,76305638,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN069
Fairy Box,3,21598948,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN024
Boneheimer,8,98456117,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN057
Jam Defender,3,21558682,Common,M,1st Edition,Labyrinth of Nightmare,LON-028
Dreamsprite,5,8687195,Common,M,1st Edition,Labyrinth of Nightmare,LON-073
Cyclon Laser,3,5494820,Common,M,1st Edition,Labyrinth of Nightmare,LON-095
Skull Lair,6,6733059,Common,M,1st Edition,Labyrinth of Nightmare,LON-082
"Spirit Message ""N""",2,67287533,Rare,M,1st Edition,Labyrinth of Nightmare,LON-090
Chosen One,4,21888494,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN014
Spherous Lady,1,52121290,Common,M,1st Edition,Labyrinth of Nightmare,LON-059
Grand Tiki Elder,5,13676474,Common,M,1st Edition,Labyrinth of Nightmare,LON-011
Fairy Guardian,7,22419772,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN039
Lady Assailant of Flames,1,90147755,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN035
Crimson Sentry,4,28358902,Common,M,1st Edition,Labyrinth of Nightmare,LON-033
Gilasaurus,1,45894482,Rare,M,1st Edition,Labyrinth of Nightmare,LON-071
Aqua Spirit,4,40916023,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN068
Spirit Elimination,1,69832741,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN102
Empress Mantis,2,58818411,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN040
The Earl of Demise,5,66989694,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN056
Garuda the Wind Spirit,2,12800777,Common,M,1st Edition,Labyrinth of Nightmare,LON-070
Amazoness Archer,6,91869203,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN032
Jowgen the Spiritualist,4,41855169,Rare,M,1st Edition,Labyrinth of Nightmare,LON-061
Earthbound Spirit,2,67105242,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN055
Mask of Weakness,1,57882509,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN015
Bio-Mage,2,58696829,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN043
The Dark Door,4,30606547,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN093
The Unfriendly Amazon,3,65475294,Common,M,1st Edition,Labyrinth of Nightmare,LON-031
Lady Panther,3,38480590,Common,M,1st Edition,Labyrinth of Nightmare,LON-030
Spirit of the Breeze,4,53530069,Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN037
Headless Knight,7,5434080,Common,M,1st Edition,Labyrinth of Nightmare,LON-054
Lightning Conger,3,27671321,Common,M,1st Edition,Labyrinth of Nightmare,LON-060
Worm Drake,2,73216412,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN004
Dancing Fairy,5,90925163,Common,M,1st Edition,Labyrinth of Nightmare,LON-038
Flying Fish,2,31987274,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN007
Return of the Doomed,1,19827717,Rare,M,1st Edition,Labyrinth of Nightmare,LON-021
Melchid the Four-Face Beast,4,86569121,Common,M,1st Edition,Labyrinth of Nightmare,LON-012
St. Joan,2,21175632,Common,M,1st Edition,Labyrinth of Nightmare,LON-045
Fire Sorcerer,2,27132350,Common,M,1st Edition,Labyrinth of Nightmare,LON-036
Graverobber's Retribution,4,33737664,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN083
Vengeful Bog Spirit,3,95220856,Common,M,1st Edition,Labyrinth of Nightmare,LON-103
Jam Breeding Machine,1,21770260,Rare,M,1st Edition,Labyrinth of Nightmare,LON-026
Mask of Restrict,1,29549364,Ultra Rare,M,1st Edition,Labyrinth of Nightmare,LON-018
Flame Dancer,1,12883044,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN058
Cure Mermaid,1,85802526,Common,M,1st Edition,Labyrinth of Nightmare,LON-041
Lightning Blade,3,55226821,Common,M,1st Edition,Labyrinth of Nightmare,LON-022
Ekibyo Drakmord,2,69954399,Common,M,1st Edition,Labyrinth of Nightmare,LON-099
Spirit of Flames,3,13522325,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN067
Miracle Dig,2,6343408,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN100
The Portrait's Secret,4,32541773,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN052
Spiritualism,2,15866454,Rare,M,1st Edition,Labyrinth of Nightmare,LON-094
Curse of the Masked Beast,2,94377247,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN016
Shining Abyss,4,87303357,Common,M,1st Edition,Labyrinth of Nightmare,LON-009
Offerings to the Doomed,6,19230407,Common,M,1st Edition,Labyrinth of Nightmare,LON-051
Darklord Marie,1,57579381,Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN046
Dragonic Attack,3,32437102,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN101
Collected Power,2,7565547,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN078
Bait Doll,1,7165085,Common,M,1st Edition,Labyrinth of Nightmare,LON-096
Deal of Phantom,1,69122763,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN084
Mask of Brutality,1,82432018,Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN020
Humanoid Worm Drake,5,5600127,Common,M,1st Edition,Labyrinth of Nightmare,LON-005
Fusion Gate,1,33550694,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN098
Soul of Purity and Light,1,77527210,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN066
Supply,1,44072894,Common,M,1st Edition,Labyrinth of Nightmare,LON-075
Infinite Cards,1,94163677,Rare,M,1st Edition,Labyrinth of Nightmare,LON-027
Tornado Wall,1,18605135,Common,M,1st Edition,Labyrinth of Nightmare,LON-023
The Gross Ghost of Fled Dreams,2,68049471,Common,M,1st Edition,Labyrinth of Nightmare,LON-053
Zombyra the Dark,3,88472456,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN074
"Spirit Message ""A""",1,94772232,Rare,M,1st Edition,Labyrinth of Nightmare,LON-091
Maryokutai,2,71466592,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN076
Tornado Bird,3,71283180,Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN072
Fire Princess,1,64752646,Super Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN034
Humanoid Slime,3,46821314,Common,M,1st Edition,Labyrinth of Nightmare,LON-003
Gadget Soldier,1,86281779,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN010
Blind Destruction,1,32015116,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN086
Torrential Tribute,1,53582587,Ultra Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN025
"Spirit Message ""L""",1,30170981,Rare,M,1st Edition,Labyrinth of Nightmare,LON-092
Dark Spirit of the Silent,1,93599951,Super Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN079
The Forgiving Maiden,1,84080938,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN044
Nuvia the Wicked,1,12953226,Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN013
Scroll of Bewitchment,1,10352095,Common,M,1st Edition,Labyrinth of Nightmare,LON-EN048
Riryoku Field,1,70344351,Super Rare,M,1st Edition,Labyrinth of Nightmare,LON-081
Jar of Greed,1,83968380,Super Rare,M,1st Edition,Labyrinth of Nightmare,LON-EN047
Burst Breath,3,80163754,Common,M,1st Edition,Legacy of Darkness,LOD-049
Gray Wing,5,29618570,Common,M,1st Edition,Legacy of Darkness,LOD-041
The Hunter with 7 Weapons,3,1525329,Common,M,1st Edition,Legacy of Darkness,LOD-024
Gradius' Option,2,14291024,Common,M,1st Edition,Legacy of Darkness,LOD-060
Bark of Dark Ruler,6,41925941,Common,M,1st Edition,Legacy of Darkness,LOD-EN010
Robotic Knight,4,44203504,Common,M,1st Edition,Legacy of Darkness,LOD-051
Cave Dragon,2,93220472,Common,M,1st Edition,Legacy of Darkness,LOD-EN040
Life Absorbing Machine,2,14318794,Common,M,1st Edition,Legacy of Darkness,LOD-012
Magic Reflector,2,61844784,Rare,M,1st Edition,Legacy of Darkness,LOD-087
Spirit's Invitation,3,92394653,Common,M,1st Edition,Legacy of Darkness,LOD-EN095
Dragon's Gunfire,6,55991637,Common,M,1st Edition,Legacy of Darkness,LOD-EN045
Patrician of Darkness,4,19153634,Common,M,1st Edition,Legacy of Darkness,LOD-058
Disappear,3,24623598,Common,M,1st Edition,Legacy of Darkness,LOD-089
A Feint Plan,3,68170903,Common,M,1st Edition,Legacy of Darkness,LOD-032
Lizard Soldier,2,20831168,Common,M,1st Edition,Legacy of Darkness,LOD-EN038
The Dragon's Bead,2,92408984,Rare,M,1st Edition,Legacy of Darkness,LOD-EN043
Reinforcement of the Army,2,32807846,Super Rare,M,1st Edition,Legacy of Darkness,LOD-EN028
Winged Minion,3,89258225,Common,M,1st Edition,Legacy of Darkness,LOD-EN005
Ready for Intercepting,2,31785398,Common,M,1st Edition,Legacy of Darkness,LOD-EN031
Great Long Nose,7,2356994,Common,M,1st Edition,Legacy of Darkness,LOD-068
Wolf Axwielder,4,56369281,Common,M,1st Edition,Legacy of Darkness,LOD-052
Dragon's Rage,4,54178050,Common,M,1st Edition,Legacy of Darkness,LOD-048
A Wingbeat of Giant Dragon,4,28596933,Common,M,1st Edition,Legacy of Darkness,LOD-EN044
Fengsheng Mirror,4,37406863,Common,M,1st Edition,Legacy of Darkness,LOD-075
Inaba White Rabbit,6,77084837,Common,M,1st Edition,Legacy of Darkness,LOD-065
Array of Revealing Light,2,69296555,Rare,M,1st Edition,Legacy of Darkness,LOD-EN029
Otohime,3,39751093,Common,M,1st Edition,Legacy of Darkness,LOD-069
Spring of Rebirth,4,94425169,Common,M,1st Edition,Legacy of Darkness,LOD-EN076
Fiend Comedian,2,81172176,Common,M,1st Edition,Legacy of Darkness,LOD-098
Ominous Fortunetelling,6,56995655,Common,M,1st Edition,Legacy of Darkness,LOD-094
Mysterious Guard,3,1347977,Common,M,1st Edition,Legacy of Darkness,LOD-EN021
Super Roboyarou,2,1412158,Common,M,1st Edition,Legacy of Darkness,LOD-074
After the Struggle,2,25345186,Rare,M,1st Edition,Legacy of Darkness,LOD-EN086
Super Rejuvenation,5,27770341,Common,M,1st Edition,Legacy of Darkness,LOD-EN047
Smoke Grenade of the Thief,3,63789924,Common,M,1st Edition,Legacy of Darkness,LOD-EN080
Serpentine Princess,2,71829750,Common,M,1st Edition,Legacy of Darkness,LOD-EN057
Possessed Dark Soul,1,52860176,Common,M,1st Edition,Legacy of Darkness,LOD-004
The Dragon Dwelling in the Cave,2,93346024,Common,M,1st Edition,Legacy of Darkness,LOD-037
Warrior Dai Grepher,4,75953262,Common,M,1st Edition,Legacy of Darkness,LOD-EN020
Bottomless Trap Hole,2,29401950,Rare,M,1st Edition,Legacy of Darkness,LOD-EN092
Soul Demolition,4,76297408,Common,M,1st Edition,Legacy of Darkness,LOD-EN014
Woodland Sprite,4,6979239,Common,M,1st Edition,Legacy of Darkness,LOD-EN061
Emergency Provisions,3,53046408,Common,M,1st Edition,Legacy of Darkness,LOD-033
Second Coin Toss,2,36562627,Rare,M,1st Edition,Legacy of Darkness,LOD-083
Spirit Ryu,2,67957315,Common,M,1st Edition,Legacy of Darkness,LOD-036
Double Snare,4,3682106,Common,M,1st Edition,Legacy of Darkness,LOD-015
The A. Forces,3,403847,Rare,M,1st Edition,Legacy of Darkness,LOD-EN027
Stamping Destruction,3,81385346,Common,M,1st Edition,Legacy of Darkness,LOD-EN046
Robolady,3,92421852,Common,M,1st Edition,Legacy of Darkness,LOD-054
Bubble Crash,3,61622107,Common,M,1st Edition,Legacy of Darkness,LOD-EN090
Throwstone Unit,4,76075810,Common,M,1st Edition,Legacy of Darkness,LOD-EN017
Dragon Manipulator,5,63018132,Common,M,1st Edition,Legacy of Darkness,LOD-EN026
Fusion Sword Murasame Blade,1,37684215,Rare,M,1st Edition,Legacy of Darkness,LOD-EN079
Bad Reaction to Simochi,3,40633297,Common,M,1st Edition,Legacy of Darkness,LOD-EN093
Luster Dragon #2,1,17658803,Super Rare,M,1st Edition,Legacy of Darkness,LOD-EN050
Convulsion of Nature,6,62966332,Common,M,1st Edition,Legacy of Darkness,LOD-EN084
Roboyarou,1,38916461,Common,M,1st Edition,Legacy of Darkness,LOD-055
The Secret of the Bandit,1,99351431,Common,M,1st Edition,Legacy of Darkness,LOD-085
Shadow Tamer,1,37620434,Rare,M,1st Edition,Legacy of Darkness,LOD-EN025
Maharaghi,3,40695128,Common,M,1st Edition,Legacy of Darkness,LOD-064
Ryu-Kishin Clown,2,42647539,Common,M,1st Edition,Legacy of Darkness,LOD-007
Opticlops,3,14531242,Rare,M,1st Edition,Legacy of Darkness,LOD-EN009
Lesser Fiend,1,16475472,Rare,M,1st Edition,Legacy of Darkness,LOD-EN003
The Puppet Magic of Dark Ruler,2,40703393,Common,M,1st Edition,Legacy of Darkness,LOD-013
Skull Knight #2,2,15653824,Common,M,1st Edition,Legacy of Darkness,LOD-EN006
Marauding Captain,1,2460565,Ultra Rare,M,1st Edition,Legacy of Darkness,LOD-018
Troop Dragon,3,55013285,Common,M,1st Edition,Legacy of Darkness,LOD-042
Twin-Headed Wolf,2,88132637,Common,M,1st Edition,Legacy of Darkness,LOD-EN008
Susa Soldier,1,40473581,Rare,M,1st Edition,Legacy of Darkness,LOD-EN066
Super Robolady,2,75923050,Common,M,1st Edition,Legacy of Darkness,LOD-EN073
Spear Dragon,1,31553716,Super Rare,M,1st Edition,Legacy of Darkness,LOD-035
Nutrient Z,2,29389368,Common,M,1st Edition,Legacy of Darkness,LOD-EN096
Royal Oppression,1,93016201,Rare,M,1st Edition,Legacy of Darkness,LOD-091
Yamata Dragon,1,76862289,Ultra Rare,M,1st Edition,Legacy of Darkness,LOD-EN067
The Illusory Gentleman,1,83764996,Common,M,1st Edition,Legacy of Darkness,LOD-EN053
Spiritual Energy Settle Machine,2,99173029,Common,M,1st Edition,Legacy of Darkness,LOD-082
Blast with Chain,1,98239899,Rare,M,1st Edition,Legacy of Darkness,LOD-EN088
Fiend Skull Dragon,1,66235877,Super Rare,M,1st Edition,Legacy of Darkness,LOD-EN039
Buster Rancher,3,84740193,Common,M,1st Edition,Pharaonic Guardian,PGD-085
Servant of Catabolism,2,2792265,Common,M,1st Edition,Pharaonic Guardian,PGD-012
Poison Mummy,2,43716289,Common,M,1st Edition,Pharaonic Guardian,PGD-016
Swarm of Scarabs,4,15383415,Common,M,1st Edition,Pharaonic Guardian,PGD-021
Souleater,5,31242786,Common,M,1st Edition,Pharaonic Guardian,PGD-003
Card Shuffle,4,12183332,Common,M,1st Edition,Pharaonic Guardian,PGD-080
A Cat of Ill Omen,3,24140059,Common,M,1st Edition,Pharaonic Guardian,PGD-070
Arsenal Bug,4,42364374,Common,M,1st Edition,Pharaonic Guardian,PGD-007
Book of Moon,1,14087893,Rare,M,1st Edition,Pharaonic Guardian,PGD-035
Tutan Mask,3,3149764,Common,M,1st Edition,Pharaonic Guardian,PGD-041
Gravekeeper's Cannonholder,5,99877698,Common,M,1st Edition,Pharaonic Guardian,PGD-066
Swarm of Locusts,5,41872150,Common,M,1st Edition,Pharaonic Guardian,PGD-022
Gravekeeper's Vassal,6,99690140,Common,M,1st Edition,Pharaonic Guardian,PGD-063
Pyro Clock of Destiny,4,1082946,Common,M,1st Edition,Pharaonic Guardian,PGD-050
Hieroglyph Lithograph,3,10248192,Common,M,1st Edition,Pharaonic Guardian,PGD-086
Gravekeeper's Curse,2,50712728,Common,M,1st Edition,Pharaonic Guardian,PGD-060
Ordeal of a Traveler,4,39537362,Common,M,1st Edition,Pharaonic Guardian,PGD-042
Newdoria,3,4335645,Rare,M,1st Edition,Pharaonic Guardian,PGD-057
Charm of Shabti,2,50412166,Common,M,1st Edition,Pharaonic Guardian,PGD-074
Royal Tribute,5,72405967,Common,M,1st Edition,Pharaonic Guardian,PGD-091
Birdface,3,45547649,Common,M,1st Edition,Pharaonic Guardian,PGD-005
Dark Coffin,4,1804528,Common,M,1st Edition,Pharaonic Guardian,PGD-047
Giant Axe Mummy,5,78266168,Common,M,1st Edition,Pharaonic Guardian,PGD-023
Coffin Seller,2,65830223,Rare,M,1st Edition,Pharaonic Guardian,PGD-093
Call of the Mummy,2,4861205,Common,M,1st Edition,Pharaonic Guardian,PGD-038
Reversal Quiz,3,5990062,Common,M,1st Edition,Pharaonic Guardian,PGD-092
Rite of Spirit,1,30450531,Common,M,1st Edition,Pharaonic Guardian,PGD-100
Terraforming,3,73628505,Common,M,1st Edition,Pharaonic Guardian,PGD-088
Maiden of the Aqua,1,17214465,Common,M,1st Edition,Pharaonic Guardian,PGD-008
King Tiger Wanghu,2,83986578,Rare,M,1st Edition,Pharaonic Guardian,PGD-004
Ring of Destruction,1,83555666,Secret Rare,M,1st Edition,Pharaonic Guardian,PGD-000
Pyramid Energy,2,76754619,Common,M,1st Edition,Pharaonic Guardian,PGD-040
Dark Snake Syndrome,4,47233801,Common,M,1st Edition,Pharaonic Guardian,PGD-087
Disturbance Strategy,4,77561728,Common,M,1st Edition,Pharaonic Guardian,PGD-098
Narrow Pass,3,40172183,Common,M,1st Edition,Pharaonic Guardian,PGD-097
Pyramid Turtle,2,77044671,Rare,M,1st Edition,Pharaonic Guardian,PGD-026
Timeater,2,44913552,Common,M,1st Edition,Pharaonic Guardian,PGD-010
Banner of Courage,3,10012614,Common,M,1st Edition,Pharaonic Guardian,PGD-089
A Man with Wdjat,2,51351302,Common,M,1st Edition,Pharaonic Guardian,PGD-068
Book of Taiyou,5,38699854,Common,M,1st Edition,Pharaonic Guardian,PGD-034
Reasoning,4,58577036,Common,M,1st Edition,Pharaonic Guardian,PGD-081
Mucus Yolk,2,70307656,Common,M,1st Edition,Pharaonic Guardian,PGD-011
Wandering Mummy,3,42994702,Rare,M,1st Edition,Pharaonic Guardian,PGD-019
Raigeki Break,5,4178474,Common,M,1st Edition,Pharaonic Guardian,PGD-096
Non Aggression Area,4,76848240,Common,M,1st Edition,Pharaonic Guardian,PGD-101
Dark Designator,1,78053598,Rare,M,1st Edition,Pharaonic Guardian,PGD-079
8-Claws Scorpion,2,14261867,Common,M,1st Edition,Pharaonic Guardian,PGD-024
Kryuel,2,82642348,Common,M,1st Edition,Pharaonic Guardian,PGD-006
Timidity,5,40350910,Common,M,1st Edition,Pharaonic Guardian,PGD-039
Byser Shock,1,17597059,Ultra Rare,M,1st Edition,Pharaonic Guardian,PGD-103
Nightmare Horse,3,59290628,Common,M,1st Edition,Pharaonic Guardian,PGD-077
Master Kyonshee,3,24530661,Common,M,1st Edition,Pharaonic Guardian,PGD-053
An Owl of Luck,2,23927567,Common,M,1st Edition,Pharaonic Guardian,PGD-073
Yomi Ship,2,51534754,Common,M,1st Edition,Pharaonic Guardian,PGD-071
Gravekeeper's Watcher,3,26084285,Rare,M,1st Edition,Pharaonic Guardian,PGD-064
Needle Ceiling,4,38411870,Common,M,1st Edition,Pharaonic Guardian,PGD-045
Dark Scorpion Burglars,2,40933924,Common,M,1st Edition,Pharaonic Guardian,PGD-028
Bottomless Shifting Sand,5,76532077,Common,M,1st Edition,Pharaonic Guardian,PGD-043
Cobraman Sakuzy,2,75109441,Common,M,1st Edition,Pharaonic Guardian,PGD-032
Royal Keeper,1,16509093,Common,M,1st Edition,Pharaonic Guardian,PGD-018
Cobra Jar,2,86801871,Common,M,1st Edition,Pharaonic Guardian,PGD-075
Moisture Creature,2,75285069,Rare,M,1st Edition,Pharaonic Guardian,PGD-013
Reaper on the Nightmare,1,85684223,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-078
D. Tribe,2,2833249,Common,M,1st Edition,Pharaonic Guardian,PGD-102
Trap of Board Eraser,1,3055837,Super Rare,M,1st Edition,Pharaonic Guardian,PGD-099
Gravekeeper's Assailant,1,25262697,Common,M,1st Edition,Pharaonic Guardian,PGD-067
